juf_suenos_var_S08,S08,0.3,24/02/2025
juf_regcivil_total_S08,S08,1367,24/02/2025
juf_regcivil_total_S08,S08,1368,17/02/2025
f2040_S08,S08,1,20/02/2023
f2040_S08,S08,3,24/02/2025
esp_consagracion_pct_S08,S08,62.4,17/02/2025
esp_consagracion_pct_S08,S08,62.5,24/02/2025
esp_consagracion_total_S08,S08,857,24/02/2025
esp_consagracion_total_S08,S08,857,17/02/2025
esp_bautismo_var_S08,S08,-0.2,17/02/2025
esp_bautismo_var_S08,S08,0.1,24/02/2025
esp_bautismo_pct_S08,S08,46.2,17/02/2025
esp_bautismo_pct_S08,S08,46.3,24/02/2025
esp_bautismo_total_S08,S08,635,24/02/2025
esp_bautismo_total_S08,S08,635,17/02/2025
salud_seguro_var_S07,S07,-0.3,17/02/2025
salud_seguro_pct_S07,S07,85.1,17/02/2025
salud_seguro_total_S07,S07,1164,17/02/2025
p_juf_regcivil_var_S07,S07,-0.2,17/02/2025
p_juf_regcivil_pct_S07,S07,99.7,17/02/2025
juf_suenos_var_S07,S07,-1.4,17/02/2025
juf_regcivil_total_S07,S07,1364,17/02/2025
f2040_S07,S07,2,13/02/2023
f2040_S07,S07,10,17/02/2025
esp_consagracion_pct_S07,S07,62.6,17/02/2025
esp_consagracion_total_S07,S07,856,17/02/2025
esp_bautismo_var_S07,S07,-1.2,17/02/2025
esp_bautismo_pct_S07,S07,46.3,17/02/2025
esp_bautismo_total_S07,S07,634,17/02/2025
V_var_S06,S06,-0.1,10/02/2025
V_total_S06,S06,1345,10/02/2025
V_percent_S06,S06,8.3,10/02/2025
salud_seguro_var_S06,S06,0.1,10/02/2025
salud_seguro_pct_S06,S06,85.4,10/02/2025
salud_seguro_total_S06,S06,1148,10/02/2025
p_juf_regcivil_var_S06,S06,0.1,10/02/2025
p_juf_regcivil_pct_S06,S06,99.9,10/02/2025
juf_suenos_var_S06,S06,0.1,10/02/2025
juf_regcivil_total_S06,S06,1344,10/02/2025
guias_S06,S06,11,10/02/2025
f2040_S06,S06,17,10/02/2025
f2040_S06,S06,1,12/02/2024
esp_consagracion_pct_S06,S06,63.5,10/02/2025
esp_consagracion_total_S06,S06,854,10/02/2025
esp_bautismo_var_S06,S06,0.6,10/02/2025
esp_bautismo_pct_S06,S06,46.9,10/02/2025
esp_bautismo_total_S06,S06,631,10/02/2025
V_var_S05,S05,-0.7,03/02/2025
V_total_S05,S05,1347,03/02/2025
V_percent_S05,S05,9.1,03/02/2025
salud_seguro_var_S05,S05,0,03/02/2025
salud_seguro_pct_S05,S05,85.3,03/02/2025
salud_seguro_total_S05,S05,1149,03/02/2025
p_juf_regcivil_var_S05,S05,0,03/02/2025
p_juf_regcivil_pct_S05,S05,99.9,03/02/2025
juf_suenos_var_S05,S05,3.7,03/02/2025
juf_regcivil_total_S05,S05,1345,03/02/2025
guias_S05,S05,11,03/02/2025
f2040_S05,S05,3,30/01/2023
f2040_S05,S05,4,03/02/2025
esp_consagracion_pct_S05,S05,63.4,03/02/2025
esp_consagracion_total_S05,S05,854,03/02/2025
esp_bautismo_var_S05,S05,0.4,03/02/2025
esp_bautismo_pct_S05,S05,46.6,03/02/2025
esp_bautismo_total_S05,S05,628,03/02/2025
V_var_S04,S04,-0.5,20/01/2025
V_var_S04,S04,0.1,27/01/2025
V_total_S04,S04,1346,20/01/2025
V_total_S04,S04,1357,27/01/2025
V_percent_S04,S04,12.5,20/01/2025
V_percent_S04,S04,10,27/01/2025
salud_seguro_var_S04,S04,0,27/01/2025
salud_seguro_var_S04,S04,0,20/01/2025
salud_seguro_pct_S04,S04,85.3,20/01/2025
salud_seguro_pct_S04,S04,85.3,27/01/2025
salud_seguro_total_S04,S04,1148,20/01/2025
salud_seguro_total_S04,S04,1157,27/01/2025
p_juf_regcivil_var_S04,S04,0,27/01/2025
p_juf_regcivil_var_S04,S04,0.1,20/01/2025
p_juf_regcivil_pct_S04,S04,99.9,20/01/2025
p_juf_regcivil_pct_S04,S04,99.9,27/01/2025
juf_suenos_var_S04,S04,2.2,27/01/2025
juf_regcivil_total_S04,S04,1344,20/01/2025
juf_regcivil_total_S04,S04,1355,27/01/2025
guias_S04,S04,11,20/01/2025
guias_S04,S04,11,27/01/2025
f2040_S04,S04,3,23/01/2023
esp_consagracion_pct_S04,S04,63.4,20/01/2025
esp_consagracion_pct_S04,S04,63.2,27/01/2025
esp_consagracion_total_S04,S04,853,20/01/2025
esp_consagracion_total_S04,S04,857,27/01/2025
esp_bautismo_var_S04,S04,4.6,27/01/2025
esp_bautismo_var_S04,S04,5.5,20/01/2025
esp_bautismo_pct_S04,S04,46.7,20/01/2025
esp_bautismo_pct_S04,S04,46.4,27/01/2025
esp_bautismo_total_S04,S04,628,20/01/2025
esp_bautismo_total_S04,S04,630,27/01/2025
V_var_S03,S03,0.7,20/01/2025
V_total_S03,S03,1356,20/01/2025
V_percent_S03,S03,11.1,20/01/2025
salud_seguro_var_S03,S03,0,20/01/2025
salud_seguro_pct_S03,S03,85.3,20/01/2025
salud_seguro_total_S03,S03,1156,20/01/2025
p_juf_regcivil_var_S03,S03,0,20/01/2025
p_juf_regcivil_pct_S03,S03,99.9,20/01/2025
juf_suenos_var_S03,S03,-5.4,20/01/2025
juf_regcivil_total_S03,S03,1354,20/01/2025
guias_S03,S03,11,20/01/2025
f2040_S03,S03,8,20/01/2025
f2040_S03,S03,2,16/01/2023
f2040_S03,S03,2,22/01/2024
esp_consagracion_pct_S03,S03,63.1,20/01/2025
esp_consagracion_total_S03,S03,856,20/01/2025
esp_bautismo_var_S03,S03,-4.8,20/01/2025
esp_bautismo_pct_S03,S03,44.4,20/01/2025
esp_bautismo_total_S03,S03,602,20/01/2025
salud_seguro_var_S02,S02,0,13/01/2025
salud_seguro_pct_S02,S02,85.3,13/01/2025
salud_seguro_total_S02,S02,1153,13/01/2025
p_juf_regcivil_var_S02,S02,0,13/01/2025
p_juf_regcivil_pct_S02,S02,99.7,13/01/2025
juf_suenos_var_S02,S02,2,13/01/2025
juf_regcivil_total_S02,S02,1348,13/01/2025
f2040_S02,S02,12,13/01/2025
f2040_S02,S02,1,09/01/2023
esp_consagracion_pct_S02,S02,63.1,13/01/2025
esp_consagracion_total_S02,S02,853,13/01/2025
esp_bautismo_var_S02,S02,0,13/01/2025
esp_bautismo_pct_S02,S02,44.2,13/01/2025
esp_bautismo_total_S02,S02,598,13/01/2025
V_var_S01,S01,0.1,06/01/2025
V_total_S01,S01,1353,06/01/2025
V_percent_S01,S01,14.3,06/01/2025
salud_seguro_var_S01,S01,0,06/01/2025
salud_seguro_pct_S01,S01,85.3,06/01/2025
salud_seguro_total_S01,S01,1151,06/01/2025
p_juf_regcivil_var_S01,S01,0,06/01/2025
p_juf_regcivil_pct_S01,S01,99.7,06/01/2025
juf_regcivil_total_S01,S01,1346,06/01/2025
