indicador_id,periodo,valor
juf_suenos_p2040_total_S04,S04,1093
juf_suenos_p2040_total_S04,S04,1174
juf_suenos_p2040_total_S04,S04,1213
juf_suenos_p2040_total_S03,S03,1210
juf_suenos_p2040_total_S02,S02,1210
juf_suenos_p2040_total_S04,S04,1210
juf_suenos_p2040_total_S02,S02,1094
juf_suenos_p2040_total_S03,S03,1094
juf_suenos_p2040_total_S04,S04,1096
indicador_id,periodo,valor
juf_suenos_p2040_var_S04,S04,0.1
juf_suenos_p2040_var_S01,S01,0
juf_suenos_p2040_var_S05,S05,0
juf_suenos_p2040_var_S05,S05,-0.3
juf_suenos_p2040_var_S01,S01,0.2
juf_suenos_p2040_var_S01,S01,0.1
juf_suenos_p2040_var_S02,S02,-0.4
juf_suenos_p2040_var_S02,S02,0.4
juf_suenos_p2040_var_S04,S04,-0.1
juf_suenos_p2040_var_S03,S03,-0.1
juf_suenos_p2040_var_S03,S03,1.4
juf_suenos_p2040_var_S04,S04,5.7
juf_suenos_p2040_var_S02,S02,2
juf_suenos_p2040_var_S04,S04,-0.8
juf_suenos_p2040_var_S02,S02,0.1
juf_suenos_p2040_var_S01,S01,3.7
juf_suenos_p2040_var_S05,S05,0
juf_suenos_p2040_var_S05,S05,-0.4
juf_suenos_p2040_var_S03,S03,3.4
juf_suenos_p2040_var_S03,S03,-1.4
juf_suenos_p2040_var_S01,S01,-0.2
juf_suenos_p2040_var_S01,S01,0.2
juf_suenos_p2040_var_S04,S04,0.1
juf_suenos_p2040_var_S04,S04,-3.3
juf_suenos_p2040_var_S04,S04,0.3
juf_suenos_p2040_var_S03,S03,0
juf_suenos_p2040_var_S02,S02,-0.1
juf_suenos_p2040_var_S04,S04,-0.5
juf_suenos_p2040_var_S02,S02,-0.4
juf_suenos_p2040_var_S03,S03,-0.2
juf_suenos_p2040_var_S04,S04,
indicador_id,periodo,valor
juf_suenos_p2040_pct_S04,S04,87
juf_suenos_p2040_pct_S01,S01,80.3
juf_suenos_p2040_pct_S05,S05,80.3
juf_suenos_p2040_pct_S05,S05,80.3
juf_suenos_p2040_pct_S01,S01,87.4
juf_suenos_p2040_pct_S01,S01,87.1
juf_suenos_p2040_pct_S02,S02,87
juf_suenos_p2040_pct_S02,S02,87.4
juf_suenos_p2040_pct_S04,S04,86.9
juf_suenos_p2040_pct_S03,S03,86.9
juf_suenos_p2040_pct_S03,S03,88.7
juf_suenos_p2040_pct_S04,S04,89.5
juf_suenos_p2040_pct_S02,S02,81.9
juf_suenos_p2040_pct_S04,S04,87.5
juf_suenos_p2040_pct_S02,S02,89.8
juf_suenos_p2040_pct_S01,S01,89.7
juf_suenos_p2040_pct_S05,S05,87.2
juf_suenos_p2040_pct_S05,S05,87.2
juf_suenos_p2040_pct_S03,S03,84.7
juf_suenos_p2040_pct_S03,S03,88.6
juf_suenos_p2040_pct_S01,S01,88.2
juf_suenos_p2040_pct_S01,S01,80.9
juf_suenos_p2040_pct_S04,S04,80.5
juf_suenos_p2040_pct_S04,S04,86.5
juf_suenos_p2040_pct_S04,S04,88.4
juf_suenos_p2040_pct_S03,S03,88.2
juf_suenos_p2040_pct_S02,S02,88.2
juf_suenos_p2040_pct_S04,S04,88.1
juf_suenos_p2040_pct_S02,S02,80.6
juf_suenos_p2040_pct_S03,S03,80.4
juf_suenos_p2040_pct_S04,S04,80.8
indicador_id,periodo,valor
U2040_S04,S04,1389
U2040_S01,S01,1350
U2040_S05,S05,1350
U2040_S05,S05,1350
U2040_S01,S01,1385
U2040_S01,S01,1390
U2040_S02,S02,1392
U2040_S02,S02,1391
U2040_S04,S04,1393
U2040_S03,S03,1393
U2040_S03,S03,1401
U2040_S04,S04,1346
U2040_S02,S02,1352
U2040_S04,S04,1383
U2040_S02,S02,1345
U2040_S01,S01,1347
U2040_S05,S05,1387
U2040_S05,S05,1387
U2040_S03,S03,1356
U2040_S03,S03,1368
U2040_S01,S01,1370
U2040_S01,S01,1351
U2040_S04,S04,1357
U2040_S04,S04,1357
U2040_S04,S04,1372
U2040_S03,S03,1372
U2040_S02,S02,1372
U2040_S04,S04,1373
U2040_S02,S02,1357
U2040_S03,S03,1360
U2040_S04,S04,1357
